sorting;case_id;activity;resource;TimeStart;TimeEnd;Cost
38;2;S7: Put population in a safe place;SDIS 41;02/03/1955 08:20;03/03/1955 08:20;10 000,00 €
39;2;S10: ad-Hoc taking care;ONG;03/03/1955 08:50;08/03/1955 08:50;2 500,00 €
40;2;S9: Ad-Hoc Accomodation;Mayor;08/03/1955 09:20;08/03/1955 13:20;3 000,00 €
41;2;S12: Food Resupplying;Mayor;08/03/1955 13:50;11/03/1955 13:50;5 000,00 €
42;2;S13: Psychological care;CUMP Blois;11/03/1955 14:20;15/03/1955 14:20;4 500,00 €
43;2;S14: SecureBuilding;Ville Blois;15/03/1955 14:50;16/03/1955 14:50;3 000,00 €
44;2;S15: ManagingPollution;DREAL;16/03/1955 15:20;19/03/1955 15:20;5 000,00 €
45;2;S16: MonitoringHealth;ARS;19/03/1955 15:50;19/03/1955 23:50;10 000,00 €
46;2;S17: RecoveringNetworks;AGGLOPOLYS;20/03/1955 00:20;20/03/1955 06:20;1 000,00 €
47;2;S18: CleaningRepairing;ARS;20/03/1955 06:50;23/03/1955 06:50;3 000,00 €
48;2;S19 : AdminsitrativeSupport;Mayor;23/03/1955 07:20;26/03/1955 02:00;1 200,00 €
49;3;S2: Notify mayors;Prefect;26/03/1955 02:30;26/03/1955 03:30;10,00 €
50;3;S1: Second Roll Call;Prefect;26/03/1955 04:00;26/03/1955 04:30;10,00 €
51;3;S3: Alert population;Mayor;26/03/1955 05:00;26/03/1955 08:00;50,00 €
52;3;S5: Stop Traffic;DDT 41;26/03/1955 08:30;26/03/1955 14:30;6 000,00 €
53;3;S6: Detour setting;DDT 41;26/03/1955 15:00;26/03/1955 18:00;4 000,00 €
54;3;S7: Put population in a safe place;SDIS 41;26/03/1955 18:30;27/03/1955 18:30;10 000,00 €
55;3;S8: Accomadation Plan ;Prefect;27/03/1955 19:00;29/03/1955 21:00;2 500,00 €
56;3;S11: NOVI Plan;Prefect;29/03/1955 21:30;02/04/1955 21:30;3 000,00 €
57;3;S12: Food Resupplying;Mayor;02/04/1955 22:00;05/04/1955 22:00;5 000,00 €
58;3;S13: Psychological care;CUMP Blois;05/04/1955 22:30;09/04/1955 22:30;4 500,00 €
59;3;S15: ManagingPollution;DREAL;09/04/1955 23:00;12/04/1955 23:00;5 000,00 €
60;3;S14: SecureBuilding;Ville Blois;12/04/1955 23:30;13/04/1955 23:30;3 000,00 €
61;3;S16: MonitoringHealth;ARS;14/04/1955 00:00;14/04/1955 08:00;10 000,00 €
62;3;S18: CleaningRepairing;ARS;14/04/1955 08:30;17/04/1955 08:30;3 000,00 €
63;3;S17: RecoveringNetworks;AGGLOPOLYS;17/04/1955 09:00;17/04/1955 15:00;1 000,00 €
64;3;S19 : AdminsitrativeSupport;Mayor;17/04/1955 15:30;20/04/1955 10:10;1 200,00 €
65;4;S2: Notify mayors;Prefect;20/04/1955 10:40;20/04/1955 11:40;10,00 €
66;4;S3: Alert population;Mayor;20/04/1955 12:10;20/04/1955 15:10;50,00 €
67;4;S1: Second Roll Call;Prefect;20/04/1955 15:40;20/04/1955 16:10;10,00 €
68;4;S5: Stop Traffic;DDT 41;20/04/1955 16:40;20/04/1955 22:40;6 000,00 €
69;4;S6: Detour setting;DDT 41;20/04/1955 23:10;21/04/1955 02:10;4 000,00 €
70;4;S7: Put population in a safe place;SDIS 41;21/04/1955 02:40;22/04/1955 02:40;10 000,00 €
71;4;S10: ad-Hoc taking care;ONG;22/04/1955 03:10;27/04/1955 03:10;2 500,00 €
72;4;S9: Ad-Hoc Accomodation;Mayor;27/04/1955 03:40;27/04/1955 07:40;3 000,00 €
73;4;S12: Food Resupplying;Mayor;27/04/1955 08:10;30/04/1955 08:10;5 000,00 €
74;4;S13: Psychological care;CUMP Blois;30/04/1955 08:40;04/05/1955 08:40;4 500,00 €
75;4;S14: SecureBuilding;Ville Blois;04/05/1955 09:10;05/05/1955 09:10;3 000,00 €
76;4;S15: ManagingPollution;DREAL;05/05/1955 09:40;08/05/1955 09:40;5 000,00 €
77;4;S16: MonitoringHealth;ARS;08/05/1955 10:10;08/05/1955 18:10;10 000,00 €
78;4;S18: CleaningRepairing;ARS;08/05/1955 18:40;11/05/1955 18:40;3 000,00 €
79;4;S17: RecoveringNetworks;AGGLOPOLYS;11/05/1955 19:10;12/05/1955 01:10;1 000,00 €
80;4;S19 : AdminsitrativeSupport;Mayor;12/05/1955 01:40;14/05/1955 20:20;1 200,00 €
81;5;S2: Notify mayors;Prefect;14/05/1955 20:50;14/05/1955 21:50;10,00 €
82;5;S3: Alert population;Mayor;14/05/1955 22:20;15/05/1955 01:20;50,00 €
83;5;S1: Second Roll Call;Prefect;15/05/1955 01:50;15/05/1955 02:20;10,00 €
84;5;S5: Stop Traffic;DDT 41;15/05/1955 02:50;15/05/1955 08:50;6 000,00 €
85;5;S6: Detour setting;DDT 41;15/05/1955 09:20;15/05/1955 12:20;4 000,00 €
86;5;S7: Put population in a safe place;SDIS 41;15/05/1955 12:50;16/05/1955 12:50;10 000,00 €
87;5;S11: NOVI Plan;Prefect;16/05/1955 13:20;20/05/1955 13:20;3 000,00 €
88;5;S9: Ad-Hoc Accomodation;Mayor;20/05/1955 13:50;20/05/1955 17:50;3 000,00 €
89;5;S12: Food Resupplying;Mayor;20/05/1955 18:20;23/05/1955 18:20;5 000,00 €
90;5;S13: Psychological care;CUMP Blois;23/05/1955 18:50;27/05/1955 18:50;4 500,00 €
91;5;S15: ManagingPollution;DREAL;27/05/1955 19:20;30/05/1955 19:20;5 000,00 €
92;5;S14: SecureBuilding;Ville Blois;30/05/1955 19:50;31/05/1955 19:50;3 000,00 €
93;5;S16: MonitoringHealth;ARS;31/05/1955 20:20;01/06/1955 04:20;10 000,00 €
94;5;S18: CleaningRepairing;ARS;01/06/1955 04:50;04/06/1955 04:50;3 000,00 €
95;5;S17: RecoveringNetworks;AGGLOPOLYS;04/06/1955 05:20;04/06/1955 11:20;1 000,00 €
96;5;S19 : AdminsitrativeSupport;Mayor;04/06/1955 11:50;07/06/1955 06:30;1 200,00 €
97;6;S2: Notify mayors;Prefect;07/06/1955 07:00;07/06/1955 08:00;10,00 €
98;6;S1: Second Roll Call;Prefect;07/06/1955 08:30;07/06/1955 09:00;10,00 €
99;6;S3: Alert population;Mayor;07/06/1955 09:30;07/06/1955 12:30;50,00 €
100;6;S5: Stop Traffic;DDT 41;07/06/1955 13:00;07/06/1955 19:00;6 000,00 €
101;6;S6: Detour setting;DDT 41;07/06/1955 19:30;07/06/1955 22:30;4 000,00 €
102;6;S7: Put population in a safe place;SDIS 41;07/06/1955 23:00;08/06/1955 23:00;10 000,00 €
103;6;S10: ad-Hoc taking care;ONG;08/06/1955 23:30;13/06/1955 23:30;2 500,00 €
104;6;S9: Ad-Hoc Accomodation;Mayor;14/06/1955 00:00;14/06/1955 04:00;3 000,00 €
105;6;S12: Food Resupplying;Mayor;14/06/1955 04:30;17/06/1955 04:30;5 000,00 €
106;6;S13: Psychological care;CUMP Blois;17/06/1955 05:00;21/06/1955 05:00;4 500,00 €
107;6;S15: ManagingPollution;DREAL;21/06/1955 05:30;24/06/1955 05:30;5 000,00 €
108;6;S14: SecureBuilding;Ville Blois;24/06/1955 06:00;25/06/1955 06:00;3 000,00 €
109;6;S16: MonitoringHealth;ARS;25/06/1955 06:30;25/06/1955 14:30;10 000,00 €
110;6;S18: CleaningRepairing;ARS;25/06/1955 15:00;28/06/1955 15:00;3 000,00 €
111;6;S17: RecoveringNetworks;AGGLOPOLYS;28/06/1955 15:30;28/06/1955 21:30;1 000,00 €
112;6;S19 : AdminsitrativeSupport;Mayor;28/06/1955 22:00;01/07/1955 16:40;1 200,00 €
113;7;S2: Notify mayors;Prefect;01/07/1955 17:10;01/07/1955 18:10;10,00 €
114;7;S1: Second Roll Call;Prefect;01/07/1955 18:40;01/07/1955 19:10;10,00 €
115;7;S3: Alert population;Mayor;01/07/1955 19:40;01/07/1955 22:40;50,00 €
116;7;S5: Stop Traffic;DDT 41;01/07/1955 23:10;02/07/1955 05:10;6 000,00 €
117;7;S6: Detour setting;DDT 41;02/07/1955 05:40;02/07/1955 08:40;4 000,00 €
118;7;S7: Put population in a safe place;SDIS 41;02/07/1955 09:10;03/07/1955 09:10;10 000,00 €
119;7;S10: ad-Hoc taking care;ONG;03/07/1955 09:40;08/07/1955 09:40;2 500,00 €
120;7;S9: Ad-Hoc Accomodation;Mayor;08/07/1955 10:10;08/07/1955 14:10;3 000,00 €
121;7;S12: Food Resupplying;Mayor;08/07/1955 14:40;11/07/1955 14:40;5 000,00 €
122;7;S13: Psychological care;CUMP Blois;11/07/1955 15:10;15/07/1955 15:10;4 500,00 €
123;7;S14: SecureBuilding;Ville Blois;15/07/1955 15:40;16/07/1955 15:40;3 000,00 €
124;7;S15: ManagingPollution;DREAL;16/07/1955 16:10;19/07/1955 16:10;5 000,00 €
125;7;S16: MonitoringHealth;ARS;19/07/1955 16:40;20/07/1955 00:40;10 000,00 €
126;7;S17: RecoveringNetworks;AGGLOPOLYS;20/07/1955 01:10;20/07/1955 07:10;1 000,00 €
127;7;S18: CleaningRepairing;ARS;20/07/1955 07:40;23/07/1955 07:40;3 000,00 €
128;7;S19 : AdminsitrativeSupport;Mayor;23/07/1955 08:10;26/07/1955 02:50;1 200,00 €
129;8;S2: Notify mayors;Prefect;26/07/1955 03:20;26/07/1955 04:20;10,00 €
130;8;S3: Alert population;Mayor;26/07/1955 04:50;26/07/1955 07:50;50,00 €
131;8;S1: Second Roll Call;Prefect;26/07/1955 08:20;26/07/1955 08:50;10,00 €
132;8;S5: Stop Traffic;DDT 41;26/07/1955 09:20;26/07/1955 15:20;6 000,00 €
133;8;S6: Detour setting;DDT 41;26/07/1955 15:50;26/07/1955 18:50;4 000,00 €
134;8;S7: Put population in a safe place;SDIS 41;26/07/1955 19:20;27/07/1955 19:20;10 000,00 €
135;8;S9: Ad-Hoc Accomodation;Mayor;27/07/1955 19:50;27/07/1955 23:50;3 000,00 €
136;8;S4: White Plan;Prefect;28/07/1955 00:20;30/07/1955 00:20;2 000,00 €
137;8;S12: Food Resupplying;Mayor;30/07/1955 00:50;02/08/1955 00:50;5 000,00 €
138;8;S13: Psychological care;CUMP Blois;02/08/1955 01:20;06/08/1955 01:20;4 500,00 €
139;8;S15: ManagingPollution;DREAL;06/08/1955 01:50;09/08/1955 01:50;5 000,00 €
140;8;S14: SecureBuilding;Ville Blois;09/08/1955 02:20;10/08/1955 02:20;3 000,00 €
141;8;S16: MonitoringHealth;ARS;10/08/1955 02:50;10/08/1955 10:50;10 000,00 €
142;8;S17: RecoveringNetworks;AGGLOPOLYS;10/08/1955 11:20;10/08/1955 17:20;1 000,00 €
143;8;S18: CleaningRepairing;ARS;10/08/1955 17:50;13/08/1955 17:50;3 000,00 €
144;8;S19 : AdminsitrativeSupport;Mayor;13/08/1955 18:20;16/08/1955 13:00;1 200,00 €
145;9;S2: Notify mayors;Prefect;16/08/1955 13:30;16/08/1955 14:30;10,00 €
146;9;S3: Alert population;Mayor;16/08/1955 15:00;16/08/1955 18:00;50,00 €
147;9;S1: Second Roll Call;Prefect;16/08/1955 18:30;16/08/1955 19:00;10,00 €
148;9;S5: Stop Traffic;DDT 41;16/08/1955 19:30;17/08/1955 01:30;6 000,00 €
149;9;S6: Detour setting;DDT 41;17/08/1955 02:00;17/08/1955 05:00;4 000,00 €
150;9;S7: Put population in a safe place;SDIS 41;17/08/1955 05:30;18/08/1955 05:30;10 000,00 €
151;9;S11: NOVI Plan;Prefect;18/08/1955 06:00;22/08/1955 06:00;3 000,00 €
152;9;S9: Ad-Hoc Accomodation;Mayor;22/08/1955 06:30;22/08/1955 10:30;3 000,00 €
153;9;S12: Food Resupplying;Mayor;22/08/1955 11:00;25/08/1955 11:00;5 000,00 €
154;9;S13: Psychological care;CUMP Blois;25/08/1955 11:30;29/08/1955 11:30;4 500,00 €
155;9;S14: SecureBuilding;Ville Blois;29/08/1955 12:00;30/08/1955 12:00;3 000,00 €
156;9;S15: ManagingPollution;DREAL;30/08/1955 12:30;02/09/1955 12:30;5 000,00 €
157;9;S16: MonitoringHealth;ARS;02/09/1955 13:00;02/09/1955 21:00;10 000,00 €
158;9;S18: CleaningRepairing;ARS;02/09/1955 21:30;05/09/1955 21:30;3 000,00 €
159;9;S17: RecoveringNetworks;AGGLOPOLYS;05/09/1955 22:00;06/09/1955 04:00;1 000,00 €
160;9;S19 : AdminsitrativeSupport;Mayor;06/09/1955 04:30;08/09/1955 23:10;1 200,00 €
161;10;S2: Notify mayors;Prefect;08/09/1955 23:40;09/09/1955 00:40;10,00 €
162;10;S1: Second Roll Call;Prefect;09/09/1955 01:10;09/09/1955 01:40;10,00 €
163;10;S3: Alert population;Mayor;09/09/1955 02:10;09/09/1955 05:10;50,00 €
164;10;S5: Stop Traffic;DDT 41;09/09/1955 05:40;09/09/1955 11:40;6 000,00 €
165;10;S6: Detour setting;DDT 41;09/09/1955 12:10;09/09/1955 15:10;4 000,00 €
166;10;S7: Put population in a safe place;SDIS 41;09/09/1955 15:40;10/09/1955 15:40;10 000,00 €
167;10;S4: White Plan;Prefect;10/09/1955 16:10;12/09/1955 16:10;2 000,00 €
168;10;S8: Accomadation Plan ;Prefect;12/09/1955 16:40;14/09/1955 18:40;2 500,00 €
169;10;S12: Food Resupplying;Mayor;14/09/1955 19:10;17/09/1955 19:10;5 000,00 €
170;10;S13: Psychological care;CUMP Blois;17/09/1955 19:40;21/09/1955 19:40;4 500,00 €
171;10;S15: ManagingPollution;DREAL;21/09/1955 20:10;24/09/1955 20:10;5 000,00 €
172;10;S14: SecureBuilding;Ville Blois;24/09/1955 20:40;25/09/1955 20:40;3 000,00 €
173;10;S16: MonitoringHealth;ARS;25/09/1955 21:10;26/09/1955 05:10;10 000,00 €
174;10;S17: RecoveringNetworks;AGGLOPOLYS;26/09/1955 05:40;26/09/1955 11:40;1 000,00 €
175;10;S18: CleaningRepairing;ARS;26/09/1955 12:10;29/09/1955 12:10;3 000,00 €
176;10;S19 : AdminsitrativeSupport;Mayor;29/09/1955 12:40;02/10/1955 07:20;1 200,00 €
177;11;S2: Notify mayors;Prefect;02/10/1955 07:50;02/10/1955 08:50;10,00 €
178;11;S1: Second Roll Call;Prefect;02/10/1955 09:20;02/10/1955 09:50;10,00 €
179;11;S3: Alert population;Mayor;02/10/1955 10:20;02/10/1955 13:20;50,00 €
180;11;S5: Stop Traffic;DDT 41;02/10/1955 13:50;02/10/1955 19:50;6 000,00 €
181;11;S6: Detour setting;DDT 41;02/10/1955 20:20;02/10/1955 23:20;4 000,00 €
182;11;S7: Put population in a safe place;SDIS 41;02/10/1955 23:50;03/10/1955 23:50;10 000,00 €
183;11;S8: Accomadation Plan ;Prefect;04/10/1955 00:20;06/10/1955 02:20;2 500,00 €
184;11;S4: White Plan;Prefect;06/10/1955 02:50;08/10/1955 02:50;2 000,00 €
185;11;S12: Food Resupplying;Mayor;08/10/1955 03:20;11/10/1955 03:20;5 000,00 €
186;11;S13: Psychological care;CUMP Blois;11/10/1955 03:50;15/10/1955 03:50;4 500,00 €
187;11;S14: SecureBuilding;Ville Blois;15/10/1955 04:20;16/10/1955 04:20;3 000,00 €
188;11;S15: ManagingPollution;DREAL;16/10/1955 04:50;19/10/1955 04:50;5 000,00 €
189;11;S16: MonitoringHealth;ARS;19/10/1955 05:20;19/10/1955 13:20;10 000,00 €
190;11;S17: RecoveringNetworks;AGGLOPOLYS;19/10/1955 13:50;19/10/1955 19:50;1 000,00 €
191;11;S18: CleaningRepairing;ARS;19/10/1955 20:20;22/10/1955 20:20;3 000,00 €
192;11;S19 : AdminsitrativeSupport;Mayor;22/10/1955 20:50;25/10/1955 15:30;1 200,00 €
193;12;S2: Notify mayors;Prefect;25/10/1955 16:00;25/10/1955 17:00;10,00 €
194;12;S1: Second Roll Call;Prefect;25/10/1955 17:30;25/10/1955 18:00;10,00 €
195;12;S3: Alert population;Mayor;25/10/1955 18:30;25/10/1955 21:30;50,00 €
196;12;S5: Stop Traffic;DDT 41;25/10/1955 22:00;26/10/1955 04:00;6 000,00 €
197;12;S6: Detour setting;DDT 41;26/10/1955 04:30;26/10/1955 07:30;4 000,00 €
198;12;S7: Put population in a safe place;SDIS 41;26/10/1955 08:00;27/10/1955 08:00;10 000,00 €
199;12;S10: ad-Hoc taking care;ONG;27/10/1955 08:30;01/11/1955 08:30;2 500,00 €
200;12;S9: Ad-Hoc Accomodation;Mayor;01/11/1955 09:00;01/11/1955 13:00;3 000,00 €
201;12;S12: Food Resupplying;Mayor;01/11/1955 13:30;04/11/1955 13:30;5 000,00 €
202;12;S13: Psychological care;CUMP Blois;04/11/1955 14:00;08/11/1955 14:00;4 500,00 €
203;12;S15: ManagingPollution;DREAL;08/11/1955 14:30;11/11/1955 14:30;5 000,00 €
204;12;S14: SecureBuilding;Ville Blois;11/11/1955 15:00;12/11/1955 15:00;3 000,00 €
205;12;S16: MonitoringHealth;ARS;12/11/1955 15:30;12/11/1955 23:30;10 000,00 €
206;12;S17: RecoveringNetworks;AGGLOPOLYS;13/11/1955 00:00;13/11/1955 06:00;1 000,00 €
207;12;S18: CleaningRepairing;ARS;13/11/1955 06:30;16/11/1955 06:30;3 000,00 €
208;12;S19 : AdminsitrativeSupport;Mayor;16/11/1955 07:00;19/11/1955 01:40;1 200,00 €
209;13;S2: Notify mayors;Prefect;19/11/1955 02:10;19/11/1955 03:10;10,00 €
210;13;S3: Alert population;Mayor;19/11/1955 03:40;19/11/1955 06:40;50,00 €
211;13;S1: Second Roll Call;Prefect;19/11/1955 07:10;19/11/1955 07:40;10,00 €
212;13;S5: Stop Traffic;DDT 41;19/11/1955 08:10;19/11/1955 14:10;6 000,00 €
213;13;S6: Detour setting;DDT 41;19/11/1955 14:40;19/11/1955 17:40;4 000,00 €
214;13;S7: Put population in a safe place;SDIS 41;19/11/1955 18:10;20/11/1955 18:10;10 000,00 €
215;13;S11: NOVI Plan;Prefect;20/11/1955 18:40;24/11/1955 18:40;3 000,00 €
216;13;S8: Accomadation Plan ;Prefect;24/11/1955 19:10;26/11/1955 21:10;2 500,00 €
217;13;S12: Food Resupplying;Mayor;26/11/1955 21:40;29/11/1955 21:40;5 000,00 €
218;13;S13: Psychological care;CUMP Blois;29/11/1955 22:10;03/12/1955 22:10;4 500,00 €
219;13;S15: ManagingPollution;DREAL;03/12/1955 22:40;06/12/1955 22:40;5 000,00 €
220;13;S14: SecureBuilding;Ville Blois;06/12/1955 23:10;07/12/1955 23:10;3 000,00 €
221;13;S16: MonitoringHealth;ARS;07/12/1955 23:40;08/12/1955 07:40;10 000,00 €
222;13;S18: CleaningRepairing;ARS;08/12/1955 08:10;11/12/1955 08:10;3 000,00 €
223;13;S17: RecoveringNetworks;AGGLOPOLYS;11/12/1955 08:40;11/12/1955 14:40;1 000,00 €
224;13;S19 : AdminsitrativeSupport;Mayor;11/12/1955 15:10;14/12/1955 09:50;1 200,00 €
225;14;S2: Notify mayors;Prefect;14/12/1955 10:20;14/12/1955 11:20;10,00 €
226;14;S3: Alert population;Mayor;14/12/1955 11:50;14/12/1955 14:50;50,00 €
227;14;S1: Second Roll Call;Prefect;14/12/1955 15:20;14/12/1955 15:50;10,00 €
228;14;S5: Stop Traffic;DDT 41;14/12/1955 16:20;14/12/1955 22:20;6 000,00 €
229;14;S6: Detour setting;DDT 41;14/12/1955 22:50;15/12/1955 01:50;4 000,00 €
230;14;S7: Put population in a safe place;SDIS 41;15/12/1955 02:20;16/12/1955 02:20;10 000,00 €
231;14;S11: NOVI Plan;Prefect;16/12/1955 02:50;20/12/1955 02:50;3 000,00 €
232;14;S9: Ad-Hoc Accomodation;Mayor;20/12/1955 03:20;20/12/1955 07:20;3 000,00 €
233;14;S12: Food Resupplying;Mayor;20/12/1955 07:50;23/12/1955 07:50;5 000,00 €
234;14;S13: Psychological care;CUMP Blois;23/12/1955 08:20;27/12/1955 08:20;4 500,00 €
235;14;S15: ManagingPollution;DREAL;27/12/1955 08:50;30/12/1955 08:50;5 000,00 €
236;14;S14: SecureBuilding;Ville Blois;30/12/1955 09:20;31/12/1955 09:20;3 000,00 €
237;14;S16: MonitoringHealth;ARS;31/12/1955 09:50;31/12/1955 17:50;10 000,00 €
238;14;S18: CleaningRepairing;ARS;31/12/1955 18:20;03/01/1956 18:20;3 000,00 €
239;14;S17: RecoveringNetworks;AGGLOPOLYS;03/01/1956 18:50;04/01/1956 00:50;1 000,00 €
240;14;S19 : AdminsitrativeSupport;Mayor;04/01/1956 01:20;06/01/1956 20:00;1 200,00 €
241;15;S2: Notify mayors;Prefect;06/01/1956 20:30;06/01/1956 21:30;10,00 €
242;15;S3: Alert population;Mayor;06/01/1956 22:00;07/01/1956 01:00;50,00 €
243;15;S1: Second Roll Call;Prefect;07/01/1956 01:30;07/01/1956 02:00;10,00 €
244;15;S5: Stop Traffic;DDT 41;07/01/1956 02:30;07/01/1956 08:30;6 000,00 €
245;15;S6: Detour setting;DDT 41;07/01/1956 09:00;07/01/1956 12:00;4 000,00 €
246;15;S7: Put population in a safe place;SDIS 41;07/01/1956 12:30;08/01/1956 12:30;10 000,00 €
247;15;S9: Ad-Hoc Accomodation;Mayor;08/01/1956 13:00;08/01/1956 17:00;3 000,00 €
248;15;S4: White Plan;Prefect;08/01/1956 17:30;10/01/1956 17:30;2 000,00 €
249;15;S12: Food Resupplying;Mayor;10/01/1956 18:00;13/01/1956 18:00;5 000,00 €
250;15;S13: Psychological care;CUMP Blois;13/01/1956 18:30;17/01/1956 18:30;4 500,00 €
251;15;S14: SecureBuilding;Ville Blois;17/01/1956 19:00;18/01/1956 19:00;3 000,00 €
252;15;S15: ManagingPollution;DREAL;18/01/1956 19:30;21/01/1956 19:30;5 000,00 €
253;15;S16: MonitoringHealth;ARS;21/01/1956 20:00;22/01/1956 04:00;10 000,00 €
254;15;S18: CleaningRepairing;ARS;22/01/1956 04:30;25/01/1956 04:30;3 000,00 €
255;15;S17: RecoveringNetworks;AGGLOPOLYS;25/01/1956 05:00;25/01/1956 11:00;1 000,00 €
256;15;S19 : AdminsitrativeSupport;Mayor;25/01/1956 11:30;28/01/1956 06:10;1 200,00 €
257;16;S2: Notify mayors;Prefect;28/01/1956 06:40;28/01/1956 07:40;10,00 €
258;16;S1: Second Roll Call;Prefect;28/01/1956 08:10;28/01/1956 08:40;10,00 €
259;16;S3: Alert population;Mayor;28/01/1956 09:10;28/01/1956 12:10;50,00 €
260;16;S5: Stop Traffic;DDT 41;28/01/1956 12:40;28/01/1956 18:40;6 000,00 €
261;16;S6: Detour setting;DDT 41;28/01/1956 19:10;28/01/1956 22:10;4 000,00 €
262;16;S7: Put population in a safe place;SDIS 41;28/01/1956 22:40;29/01/1956 22:40;10 000,00 €
263;16;S11: NOVI Plan;Prefect;29/01/1956 23:10;02/02/1956 23:10;3 000,00 €
264;16;S8: Accomadation Plan ;Prefect;02/02/1956 23:40;05/02/1956 01:40;2 500,00 €
265;16;S12: Food Resupplying;Mayor;05/02/1956 02:10;08/02/1956 02:10;5 000,00 €
266;16;S13: Psychological care;CUMP Blois;08/02/1956 02:40;12/02/1956 02:40;4 500,00 €
267;16;S15: ManagingPollution;DREAL;12/02/1956 03:10;15/02/1956 03:10;5 000,00 €
268;16;S14: SecureBuilding;Ville Blois;15/02/1956 03:40;16/02/1956 03:40;3 000,00 €
269;16;S16: MonitoringHealth;ARS;16/02/1956 04:10;16/02/1956 12:10;10 000,00 €
270;16;S18: CleaningRepairing;ARS;16/02/1956 12:40;19/02/1956 12:40;3 000,00 €
271;16;S17: RecoveringNetworks;AGGLOPOLYS;19/02/1956 13:10;19/02/1956 19:10;1 000,00 €
272;16;S19 : AdminsitrativeSupport;Mayor;19/02/1956 19:40;22/02/1956 14:20;1 200,00 €
273;17;S2: Notify mayors;Prefect;22/02/1956 14:50;22/02/1956 15:50;10,00 €
274;17;S3: Alert population;Mayor;22/02/1956 16:20;22/02/1956 19:20;50,00 €
